0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-45.;0.;1.88;0.;0.11;5=Исходное положение
0;0;0;0;0;0;0;180;0;0;-180;0;0;0;0;0;0;0;0;0;0;0;0;-45.;-0.44;0.5;0.;0.2;0=Собачка шаг 1
0;0;0;0;0;180;0;180;0;0;-180;0;180;0;0;0;0;0;0;0;0;0;0;-45.;-0.18;2.12;0.;0.2;0=Собачка шаг 2
0;0;0;0;180;180;0;180;0;0;-180;0;180;180;0;0;0;0;0;0;0;0;0;-45.;0.72;0.72;0.;0.2;0=Собачка шаг 3
0;0;0;0;180;180;0;180;0;0;-180;0;180;180;0;0;0;-180;0;180;-180;0;180;-45.;0.72;0.72;0.;0.2;0=Собачка шаг 4
0;0;0;0;180;180;0;180;0;0;-180;0;180;180;0;0;0;-180;0;180;-180;0;180;-45.;0.78;0.78;0.;0.22;5000=Собачка шаг 4
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-45.;0.;1.88;0.;0.11;5=Исходное положение
180;90;-90;-90;90;-180;-90;180;-90;90;180;-90;-90;0;180;180;0;0;90;-180;-90;90;90;-90.;0.22;-0.44;-0.66;0.22;5000=ZZZ
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-45.;0.;1.88;0.;0.11;5=Исходное положение
0;-90;0;90;90;0;-90;0;0;90;180;-90;0;0;90;0;-90;-90;0;90;0;-90;180;90.;-1.04;-0.86;0.2;0.21;5000=Катапульта
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-45.;0.;1.88;0.;0.11;5=Исходное положение
0;0;0;0;0;90;90;0;0;0;0;0;0;90;90;0;0;0;0;0;0;90;90;0.;-1.4;0.26;0.;0.2;5000=Треугольник
0;0;0;0;0;90;90;0;0;0;0;0;0;90;90;0;0;0;0;0;0;90;90;-90.;-0.4;0.82;0.;0.2;5000=Треугольник -90
0;0;0;0;0;180;0;0;0;0;180;0;0;0;0;0;0;180;0;0;0;0;180;45.;-0.74;-0.72;0.;0.205;5000=Окно
